category,score
interop-2023-events,942
interop-2024-layout,953
interop-2025-anchor-positioning,173
interop-2025-backdrop-filter,746
interop-2025-core-web-vitals,553
interop-2025-details,488
interop-2025-modules,107
interop-2025-navigation,7
interop-2025-remove-mutation-events,0
interop-2025-scope,115
interop-2025-scrollend,916
interop-2025-storageaccess,863
interop-2025-textdecoration,991
interop-2025-urlpattern,1
interop-2025-view-transitions,64
interop-2025-webassembly,400
interop-2025-webcompat,638
interop-2025-webrtc,769
interop-2025-writingmodes,823
