category,score
interop-2023-events,961
interop-2024-layout,998
interop-2025-anchor-positioning,963
interop-2025-backdrop-filter,946
interop-2025-core-web-vitals,723
interop-2025-details,947
interop-2025-modules,956
interop-2025-navigation,958
interop-2025-remove-mutation-events,0
interop-2025-scope,894
interop-2025-scrollend,1000
interop-2025-storageaccess,622
interop-2025-textdecoration,911
interop-2025-urlpattern,1000
interop-2025-view-transitions,967
interop-2025-webassembly,400
interop-2025-webcompat,882
interop-2025-webrtc,118
interop-2025-writingmodes,257
