category,score
interop-2023-events,892
interop-2024-layout,770
interop-2025-anchor-positioning,758
interop-2025-backdrop-filter,378
interop-2025-core-web-vitals,949
interop-2025-details,947
interop-2025-modules,788
interop-2025-navigation,943
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,733
interop-2025-view-transitions,236
interop-2025-webassembly,500
interop-2025-webcompat,729
interop-2025-webrtc,200
interop-2025-writingmodes,461
