category,score
interop-2023-events,904
interop-2024-layout,958
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,824
interop-2025-core-web-vitals,597
interop-2025-details,514
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,400
interop-2025-scope,146
interop-2025-scrollend,928
interop-2025-storageaccess,808
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,45
interop-2025-webassembly,500
interop-2025-webcompat,873
interop-2025-webrtc,771
interop-2025-writingmodes,982
