category,score
interop-2023-events,873
interop-2024-layout,752
interop-2025-anchor-positioning,757
interop-2025-backdrop-filter,360
interop-2025-core-web-vitals,941
interop-2025-details,947
interop-2025-modules,784
interop-2025-navigation,942
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,740
interop-2025-view-transitions,218
interop-2025-webassembly,400
interop-2025-webcompat,704
interop-2025-webrtc,680
interop-2025-writingmodes,443
