category,score
interop-2023-events,820
interop-2024-layout,945
interop-2025-anchor-positioning,146
interop-2025-backdrop-filter,913
interop-2025-core-web-vitals,37
interop-2025-details,598
interop-2025-modules,800
interop-2025-navigation,4
interop-2025-remove-mutation-events,300
interop-2025-scope,817
interop-2025-scrollend,17
interop-2025-storageaccess,330
interop-2025-textdecoration,750
interop-2025-urlpattern,1
interop-2025-view-transitions,905
interop-2025-webassembly,0
interop-2025-webcompat,636
interop-2025-webrtc,716
interop-2025-writingmodes,761
