category,score
interop-2023-events,796
interop-2024-layout,946
interop-2025-anchor-positioning,688
interop-2025-backdrop-filter,855
interop-2025-core-web-vitals,45
interop-2025-details,724
interop-2025-modules,850
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,792
interop-2025-scrollend,26
interop-2025-storageaccess,443
interop-2025-textdecoration,784
interop-2025-urlpattern,1000
interop-2025-view-transitions,905
interop-2025-webassembly,0
interop-2025-webcompat,686
interop-2025-webrtc,825
interop-2025-writingmodes,733
