category,score
interop-2023-events,884
interop-2024-layout,774
interop-2025-anchor-positioning,739
interop-2025-backdrop-filter,376
interop-2025-core-web-vitals,957
interop-2025-details,1000
interop-2025-modules,833
interop-2025-navigation,942
interop-2025-remove-mutation-events,1000
interop-2025-scope,967
interop-2025-scrollend,1000
interop-2025-storageaccess,617
interop-2025-textdecoration,1000
interop-2025-urlpattern,728
interop-2025-view-transitions,244
interop-2025-webassembly,500
interop-2025-webcompat,863
interop-2025-webrtc,198
interop-2025-writingmodes,485
