category,score
interop-2023-events,999
interop-2024-layout,971
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,855
interop-2025-core-web-vitals,811
interop-2025-details,736
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,146
interop-2025-scrollend,1000
interop-2025-storageaccess,954
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,45
interop-2025-webassembly,500
interop-2025-webcompat,995
interop-2025-webrtc,837
interop-2025-writingmodes,1000
