category,score
interop-2023-events,772
interop-2024-layout,946
interop-2025-anchor-positioning,712
interop-2025-backdrop-filter,855
interop-2025-core-web-vitals,46
interop-2025-details,724
interop-2025-modules,850
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,798
interop-2025-scrollend,17
interop-2025-storageaccess,443
interop-2025-textdecoration,784
interop-2025-urlpattern,1000
interop-2025-view-transitions,980
interop-2025-webassembly,0
interop-2025-webcompat,698
interop-2025-webrtc,813
interop-2025-writingmodes,727
