category,score
interop-2023-events,916
interop-2024-layout,774
interop-2025-anchor-positioning,758
interop-2025-backdrop-filter,376
interop-2025-core-web-vitals,940
interop-2025-details,1000
interop-2025-modules,788
interop-2025-navigation,945
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,733
interop-2025-view-transitions,244
interop-2025-webassembly,500
interop-2025-webcompat,851
interop-2025-webrtc,200
interop-2025-writingmodes,485
