category,score
interop-2023-events,892
interop-2024-layout,752
interop-2025-anchor-positioning,718
interop-2025-backdrop-filter,362
interop-2025-core-web-vitals,940
interop-2025-details,1000
interop-2025-modules,798
interop-2025-navigation,918
interop-2025-remove-mutation-events,1000
interop-2025-scope,870
interop-2025-scrollend,1000
interop-2025-storageaccess,628
interop-2025-textdecoration,937
interop-2025-urlpattern,728
interop-2025-view-transitions,232
interop-2025-webassembly,416
interop-2025-webcompat,839
interop-2025-webrtc,200
interop-2025-writingmodes,473
