category,score
interop-2023-events,940
interop-2024-layout,772
interop-2025-anchor-positioning,738
interop-2025-backdrop-filter,362
interop-2025-core-web-vitals,957
interop-2025-details,1000
interop-2025-modules,833
interop-2025-navigation,945
interop-2025-remove-mutation-events,1000
interop-2025-scope,929
interop-2025-scrollend,1000
interop-2025-storageaccess,628
interop-2025-textdecoration,1000
interop-2025-urlpattern,750
interop-2025-view-transitions,240
interop-2025-webassembly,500
interop-2025-webcompat,863
interop-2025-webrtc,215
interop-2025-writingmodes,482
