category,score
interop-2023-events,940
interop-2024-layout,764
interop-2025-anchor-positioning,754
interop-2025-backdrop-filter,362
interop-2025-core-web-vitals,957
interop-2025-details,1000
interop-2025-modules,833
interop-2025-navigation,994
interop-2025-remove-mutation-events,1000
interop-2025-scope,965
interop-2025-scrollend,1000
interop-2025-storageaccess,897
interop-2025-textdecoration,1000
interop-2025-urlpattern,750
interop-2025-view-transitions,240
interop-2025-webassembly,916
interop-2025-webcompat,863
interop-2025-webrtc,155
interop-2025-writingmodes,485
