category,score
interop-2023-events,880
interop-2024-layout,752
interop-2025-anchor-positioning,756
interop-2025-backdrop-filter,337
interop-2025-core-web-vitals,966
interop-2025-details,921
interop-2025-modules,784
interop-2025-navigation,943
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,733
interop-2025-view-transitions,218
interop-2025-webassembly,400
interop-2025-webcompat,685
interop-2025-webrtc,661
interop-2025-writingmodes,449
