category,score
interop-2023-events,796
interop-2024-layout,955
interop-2025-anchor-positioning,775
interop-2025-backdrop-filter,985
interop-2025-core-web-vitals,37
interop-2025-details,826
interop-2025-modules,843
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,857
interop-2025-scrollend,17
interop-2025-storageaccess,443
interop-2025-textdecoration,795
interop-2025-urlpattern,1000
interop-2025-view-transitions,987
interop-2025-webassembly,0
interop-2025-webcompat,697
interop-2025-webrtc,902
interop-2025-writingmodes,745
