category,score
interop-2023-events,1000
interop-2024-layout,987
interop-2025-anchor-positioning,592
interop-2025-backdrop-filter,1000
interop-2025-core-web-vitals,981
interop-2025-details,1000
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,956
interop-2025-scrollend,1000
interop-2025-storageaccess,1000
interop-2025-textdecoration,1000
interop-2025-urlpattern,998
interop-2025-view-transitions,900
interop-2025-webassembly,1000
interop-2025-webcompat,999
interop-2025-webrtc,919
interop-2025-writingmodes,1000
