category,score
interop-2023-events,892
interop-2024-layout,773
interop-2025-anchor-positioning,765
interop-2025-backdrop-filter,376
interop-2025-core-web-vitals,949
interop-2025-details,1000
interop-2025-modules,833
interop-2025-navigation,940
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,939
interop-2025-urlpattern,733
interop-2025-view-transitions,244
interop-2025-webassembly,500
interop-2025-webcompat,863
interop-2025-webrtc,200
interop-2025-writingmodes,485
