date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision,metadata-revision
2026-01-01T09:03:33,20260101090333,829,636,544,760,659,729,713,41,1000,0,867,16,325,587,880,765,844,713,781,1000,836,670,544,950,665,772,743,41,1000,0,867,16,327,587,880,765,844,720,781,1000,07ba6ba12d1c69befe885e47497d575e39f9bbee,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-01T20:55:32,20260101205532,829,636,544,760,659,729,713,41,1000,0,867,16,318,579,880,765,844,713,781,1000,836,670,544,950,665,772,743,41,1000,0,867,16,321,579,880,765,844,720,781,1000,9841bdd4a5777b6f4eedbfb606773f885053ce92,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-02T08:38:05,20260102083805,829,636,544,760,659,729,713,41,1000,0,867,16,325,579,880,765,844,713,781,1000,836,670,544,950,665,772,743,41,1000,0,867,16,327,579,880,765,844,720,781,1000,bb84913df07662fabc3cf6c35b587ed00f6e0df2,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-02T21:20:01,20260102212001,829,636,544,760,659,729,713,41,1000,0,867,16,325,587,880,765,844,713,781,1000,836,670,544,950,665,772,743,41,1000,0,867,16,327,587,880,765,844,720,781,1000,6fb14d9268d3e32063cc78c1c5246980488aec70,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-03T08:51:32,20260103085132,833,636,544,760,659,729,713,41,1000,0,867,16,318,579,880,765,844,713,781,1000,838,670,544,950,665,772,743,41,1000,0,867,16,321,579,880,765,844,720,781,1000,791d47406d61d6ee6e99e1e84b896b227a775c8b,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-03T21:25:57,20260103212557,833,636,544,760,659,729,713,41,1000,0,867,16,318,579,880,765,844,713,781,1000,838,670,544,950,665,772,743,41,1000,0,867,16,321,579,880,765,844,720,781,1000,bd631654e320cdf77cc5dcc7292f3989b5c63983,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-04T09:26:19,20260104092619,833,636,544,760,659,729,713,41,1000,0,867,16,325,587,880,765,844,713,781,1000,838,670,544,950,665,772,743,41,1000,0,867,16,327,587,880,765,844,720,781,1000,39305265f6c10fc31953222dad4d9319ac35bb28,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-05T09:53:46,20260105095346,833,636,544,760,659,729,713,41,1000,0,864,16,325,579,880,765,844,704,781,1000,838,670,544,950,665,772,743,41,1000,0,864,16,327,579,880,765,844,711,781,1000,906931f3ec40d7cf59752fdfb019736310aa2183,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-05T21:10:17,20260105211017,833,636,544,760,659,729,713,41,1000,0,867,16,325,587,880,765,844,713,781,1000,838,670,544,950,665,772,743,41,1000,0,867,16,327,587,880,765,844,720,781,1000,f3c4f3651e2dcdfaac054b3174d8b0ddc84a3743,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-06T10:00:19,20260106100019,841,636,544,760,659,729,713,41,1000,0,864,16,325,579,880,765,844,713,781,1000,844,670,544,950,665,772,743,41,1000,0,864,16,327,579,880,765,844,720,781,1000,9d92a25bfb8f450e7a3970cbeb1c5a10bc9133da,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
2026-01-06T16:24:21,20260106162421,841,636,544,760,659,729,713,41,1000,0,867,16,325,579,880,765,844,713,781,1000,844,670,544,950,665,772,743,41,1000,0,867,16,327,579,880,765,844,720,781,1000,092c4c86d0b62c4cb970a82c476f1bb80fe79fb7,dea3be3fc0bea6e45775114a90c1b12ea8130c3c
