category,score
interop-2026-anchor-positioning,994
interop-2026-attr,118
interop-2026-container-style-queries,838
interop-2026-contrast-color,1000
interop-2026-custom-highlights,683
interop-2026-dialogs-and-popovers,484
interop-2026-fetch,771
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,800
interop-2026-navigation,925
interop-2026-scoped-custom-element-registries,940
interop-2026-scroll-driven-animations,943
interop-2026-scroll-snap,465
interop-2026-shape,954
interop-2026-view-transitions,976
interop-2026-webcompat,444
interop-2026-webrtc,787
interop-2026-webtransport,0
interop-2026-zoom,934
