category,score
interop-2026-anchor-positioning,993
interop-2026-attr,123
interop-2026-container-style-queries,970
interop-2026-contrast-color,1000
interop-2026-custom-highlights,990
interop-2026-dialogs-and-popovers,935
interop-2026-fetch,713
interop-2026-indexeddb,39
interop-2026-jspi-for-wasm,76
interop-2026-media-pseudo-classes,933
interop-2026-navigation,942
interop-2026-scoped-custom-element-registries,19
interop-2026-scroll-driven-animations,85
interop-2026-scroll-snap,870
interop-2026-shape,916
interop-2026-view-transitions,801
interop-2026-webcompat,1000
interop-2026-webrtc,685
interop-2026-webtransport,686
interop-2026-zoom,1000
