category,score
interop-2026-anchor-positioning,975
interop-2026-attr,117
interop-2026-container-style-queries,972
interop-2026-contrast-color,1000
interop-2026-custom-highlights,971
interop-2026-dialogs-and-popovers,972
interop-2026-fetch,713
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,76
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,911
interop-2026-scoped-custom-element-registries,15
interop-2026-scroll-driven-animations,386
interop-2026-scroll-snap,702
interop-2026-shape,964
interop-2026-view-transitions,796
interop-2026-webcompat,1000
interop-2026-webrtc,710
interop-2026-webtransport,779
interop-2026-zoom,1000
