category,score
interop-2026-anchor-positioning,949
interop-2026-attr,126
interop-2026-container-style-queries,47
interop-2026-contrast-color,1000
interop-2026-custom-highlights,980
interop-2026-dialogs-and-popovers,998
interop-2026-fetch,713
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,76
interop-2026-media-pseudo-classes,933
interop-2026-navigation,900
interop-2026-scoped-custom-element-registries,15
interop-2026-scroll-driven-animations,85
interop-2026-scroll-snap,632
interop-2026-shape,934
interop-2026-view-transitions,798
interop-2026-webcompat,1000
interop-2026-webrtc,679
interop-2026-webtransport,686
interop-2026-zoom,1000
