category,score
interop-2026-anchor-positioning,753
interop-2026-attr,1000
interop-2026-container-style-queries,947
interop-2026-contrast-color,1000
interop-2026-custom-highlights,653
interop-2026-dialogs-and-popovers,815
interop-2026-fetch,739
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,995
interop-2026-scoped-custom-element-registries,995
interop-2026-scroll-driven-animations,895
interop-2026-scroll-snap,820
interop-2026-shape,625
interop-2026-view-transitions,455
interop-2026-webcompat,944
interop-2026-webrtc,554
interop-2026-webtransport,237
interop-2026-zoom,964
