category,score
interop-2026-anchor-positioning,981
interop-2026-attr,983
interop-2026-container-style-queries,973
interop-2026-contrast-color,1000
interop-2026-custom-highlights,990
interop-2026-dialogs-and-popovers,972
interop-2026-fetch,713
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,925
interop-2026-scoped-custom-element-registries,299
interop-2026-scroll-driven-animations,385
interop-2026-scroll-snap,703
interop-2026-shape,964
interop-2026-view-transitions,831
interop-2026-webcompat,888
interop-2026-webrtc,757
interop-2026-webtransport,779
interop-2026-zoom,1000
