category,score
interop-2026-anchor-positioning,750
interop-2026-attr,111
interop-2026-container-style-queries,47
interop-2026-contrast-color,960
interop-2026-custom-highlights,675
interop-2026-dialogs-and-popovers,757
interop-2026-fetch,690
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,76
interop-2026-media-pseudo-classes,0
interop-2026-navigation,869
interop-2026-scoped-custom-element-registries,5
interop-2026-scroll-driven-animations,83
interop-2026-scroll-snap,561
interop-2026-shape,797
interop-2026-view-transitions,773
interop-2026-webcompat,888
interop-2026-webrtc,661
interop-2026-webtransport,116
interop-2026-zoom,1000
