category,score
interop-2026-anchor-positioning,994
interop-2026-attr,998
interop-2026-container-style-queries,834
interop-2026-contrast-color,988
interop-2026-custom-highlights,683
interop-2026-dialogs-and-popovers,755
interop-2026-fetch,771
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,733
interop-2026-navigation,874
interop-2026-scoped-custom-element-registries,941
interop-2026-scroll-driven-animations,968
interop-2026-scroll-snap,559
interop-2026-shape,916
interop-2026-view-transitions,979
interop-2026-webcompat,777
interop-2026-webrtc,953
interop-2026-webtransport,644
interop-2026-zoom,939
