category,score
interop-2026-anchor-positioning,755
interop-2026-attr,1000
interop-2026-container-style-queries,1000
interop-2026-contrast-color,1000
interop-2026-custom-highlights,653
interop-2026-dialogs-and-popovers,790
interop-2026-fetch,771
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,984
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,904
interop-2026-scroll-snap,769
interop-2026-shape,625
interop-2026-view-transitions,459
interop-2026-webcompat,833
interop-2026-webrtc,565
interop-2026-webtransport,251
interop-2026-zoom,964
