category,score
interop-2026-anchor-positioning,672
interop-2026-attr,994
interop-2026-container-style-queries,894
interop-2026-contrast-color,440
interop-2026-custom-highlights,618
interop-2026-dialogs-and-popovers,998
interop-2026-fetch,532
interop-2026-indexeddb,708
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,970
interop-2026-scoped-custom-element-registries,16
interop-2026-scroll-driven-animations,824
interop-2026-scroll-snap,825
interop-2026-shape,797
interop-2026-view-transitions,415
interop-2026-webcompat,888
interop-2026-webrtc,524
interop-2026-webtransport,148
interop-2026-zoom,964
