category,score
interop-2026-anchor-positioning,1000
interop-2026-attr,1000
interop-2026-container-style-queries,1000
interop-2026-contrast-color,988
interop-2026-custom-highlights,994
interop-2026-dialogs-and-popovers,983
interop-2026-fetch,852
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,997
interop-2026-scoped-custom-element-registries,995
interop-2026-scroll-driven-animations,948
interop-2026-scroll-snap,948
interop-2026-shape,1000
interop-2026-view-transitions,1000
interop-2026-webcompat,888
interop-2026-webrtc,879
interop-2026-webtransport,658
interop-2026-zoom,1000
