category,score
interop-2026-anchor-positioning,759
interop-2026-attr,997
interop-2026-container-style-queries,1000
interop-2026-contrast-color,1000
interop-2026-custom-highlights,644
interop-2026-dialogs-and-popovers,828
interop-2026-fetch,686
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,833
interop-2026-media-pseudo-classes,933
interop-2026-navigation,985
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,885
interop-2026-scroll-snap,797
interop-2026-shape,922
interop-2026-view-transitions,471
interop-2026-webcompat,777
interop-2026-webrtc,506
interop-2026-webtransport,237
interop-2026-zoom,964
