category,score
interop-2026-anchor-positioning,982
interop-2026-attr,1000
interop-2026-container-style-queries,1000
interop-2026-contrast-color,1000
interop-2026-custom-highlights,1000
interop-2026-dialogs-and-popovers,1000
interop-2026-fetch,817
interop-2026-indexeddb,958
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,972
interop-2026-scoped-custom-element-registries,926
interop-2026-scroll-driven-animations,957
interop-2026-scroll-snap,846
interop-2026-shape,1000
interop-2026-view-transitions,997
interop-2026-webcompat,888
interop-2026-webrtc,814
interop-2026-webtransport,641
interop-2026-zoom,1000
