category,score
interop-2026-anchor-positioning,994
interop-2026-attr,996
interop-2026-container-style-queries,836
interop-2026-contrast-color,1000
interop-2026-custom-highlights,683
interop-2026-dialogs-and-popovers,604
interop-2026-fetch,771
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,800
interop-2026-navigation,928
interop-2026-scoped-custom-element-registries,940
interop-2026-scroll-driven-animations,967
interop-2026-scroll-snap,496
interop-2026-shape,1000
interop-2026-view-transitions,975
interop-2026-webcompat,555
interop-2026-webrtc,958
interop-2026-webtransport,644
interop-2026-zoom,939
