category,score
interop-2026-anchor-positioning,989
interop-2026-attr,129
interop-2026-container-style-queries,834
interop-2026-contrast-color,988
interop-2026-custom-highlights,671
interop-2026-dialogs-and-popovers,553
interop-2026-fetch,737
interop-2026-indexeddb,39
interop-2026-jspi-for-wasm,25
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,875
interop-2026-scoped-custom-element-registries,924
interop-2026-scroll-driven-animations,949
interop-2026-scroll-snap,573
interop-2026-shape,910
interop-2026-view-transitions,987
interop-2026-webcompat,555
interop-2026-webrtc,766
interop-2026-webtransport,640
interop-2026-zoom,939
