category,score
interop-2026-anchor-positioning,961
interop-2026-attr,945
interop-2026-container-style-queries,894
interop-2026-contrast-color,200
interop-2026-custom-highlights,961
interop-2026-dialogs-and-popovers,942
interop-2026-fetch,806
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,990
interop-2026-scoped-custom-element-registries,16
interop-2026-scroll-driven-animations,927
interop-2026-scroll-snap,924
interop-2026-shape,839
interop-2026-view-transitions,980
interop-2026-webcompat,844
interop-2026-webrtc,894
interop-2026-webtransport,799
interop-2026-zoom,1000
