category,score
interop-2026-anchor-positioning,740
interop-2026-attr,993
interop-2026-container-style-queries,894
interop-2026-contrast-color,1000
interop-2026-custom-highlights,589
interop-2026-dialogs-and-popovers,944
interop-2026-fetch,606
interop-2026-indexeddb,750
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,941
interop-2026-scoped-custom-element-registries,915
interop-2026-scroll-driven-animations,874
interop-2026-scroll-snap,797
interop-2026-shape,797
interop-2026-view-transitions,456
interop-2026-webcompat,888
interop-2026-webrtc,484
interop-2026-webtransport,157
interop-2026-zoom,964
