category,score
interop-2026-anchor-positioning,852
interop-2026-attr,710
interop-2026-container-style-queries,551
interop-2026-contrast-color,760
interop-2026-custom-highlights,668
interop-2026-dialogs-and-popovers,729
interop-2026-fetch,713
interop-2026-indexeddb,41
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,882
interop-2026-scoped-custom-element-registries,16
interop-2026-scroll-driven-animations,325
interop-2026-scroll-snap,579
interop-2026-shape,880
interop-2026-view-transitions,790
interop-2026-webcompat,844
interop-2026-webrtc,723
interop-2026-webtransport,781
interop-2026-zoom,1000
